Complexity,Loss,Equation
1,0.9999998,"1.02369795e-5"
3,0.48735812,"x8 * -0.7160039"
5,0.2564468,"(x5 + x8) * -0.51674354"
7,0.21228479,"(x8 * -0.7269092) - (x5 * 0.5245881)"
9,0.15322453,"(x23 + (x5 + (x8 + x8))) * -0.40696487"
11,0.12017534,"(((x5 * -0.72388566) + (x23 * -0.41635603)) - x8) / 1.371732"
13,0.119897194,"(((x23 + x12) * -0.41635603) + ((x5 * -0.72388566) - x8)) / 1.371732"
15,0.07140187,"(x5 * -0.52517676) + ((x20 * -0.22113183) + (((x23 * -0.41283524) - x8) / 1.3518199))"
17,0.071401864,"((x5 * -0.52517676) + (x20 * -0.22113183)) + (((-8.467494e-7 - x8) + (x23 * -0.41283524)) / 1.3518199)"
19,0.051161893,"(x20 * -0.21922942) + ((x5 * -0.5133091) + (((-6.791093e-7 - x8) + ((x6 + x23) * -0.31687573)) / 1.3648888))"
21,0.04865669,"(x20 * -0.21536574) + ((((x5 * -0.70543784) + (-3.213434e-5 - x8)) - (((x23 + x7) + -0.00013964227) * 0.32841906)) / 1.3689798)"
23,0.040570665,"(x20 * -0.21732733) + ((((x5 * -0.7070268) - (((x23 + 3.3566112e-6) * 0.41427833) + ((x7 - -3.4913784e-5) * 0.2398586))) - x8) / 1.3637527)"
24,0.038807485,"(((x5 * -0.51791644) + (x20 * -0.21755227)) + (0.12493502 - x8)) + (((square(x8) + x7) * -0.12494034) - ((x8 - x23) * -0.28787947))"
26,0.035492536,"((x20 * -0.217867) + (((0.08831897 - x8) + (-0.088317 * (square(x8) + (x3 + x0)))) - (-0.29368934 * (x8 - x23)))) + (x5 * -0.51674354)"
